parameter,ship_window,run_elapsed_s_mean,run_elapsed_s_median,run_elapsed_s_max,n_runs,storage,staff_factor
ship_window,0.0,6.085973716666667,6.0080795,9.11717,240,,
ship_window,2.0,6.194470933333333,6.119837,9.126881,240,,
ship_window,5.0,6.193840491666666,6.2016285,9.126796,240,,
storage,,6.161739077777778,6.112517,9.125089,180,5.0,
storage,,6.157454655555556,6.056566,9.126881,180,10.0,
storage,,6.1538971333333325,6.050561500000001,9.126796,180,20.0,
storage,,6.1592893222222225,6.162909,9.122775,180,50.0,
staff_factor,,6.1582328083333335,6.094977,9.126881,240,,0.8
staff_factor,,6.161702991666667,6.089482,9.126796,240,,1.0
staff_factor,,6.154349341666667,6.0939415,9.110317,240,,1.2
